priority	candidate_id	title	source	source_url	creator	license	license_url	attribution_required	commercial_use	derivative_use	duration	target_goal	suggested_role	status	risk_notes
P1	fma-holizna-meditation-12	20 Minute Meditation 12	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-12/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	22:23	calm,sleep	music.bed	album_license_verified_individual_recheck	Check similarity to other album tracks before importing
P0	fma-holizna-dreamscape	DreamScape	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/dreamscape/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	21:59	sleep,calm	music.bed	album_license_verified_individual_recheck	Check for cinematic movement or sparkling highs
P0	fma-holizna-rain-sleep	Rain / Sleep / Meditation	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/rain-sleep-meditation/	HoliznaCC0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	14:35	sleep,calm	music.bed	album_license_verified_individual_recheck	Check whether rain duplicates Nature role and whether the mix can loop
P0	commons-kid-pochoclo-ambient-compilation	Compilation of Ambient Music Improvisations	Wikimedia Commons	https://commons.wikimedia.org/wiki/File:Compilation_of_ambient_music_improvisations_-_Kid_Pochoclo.opus	Kid Pochoclo	CC BY 3.0	https://creativecommons.org/licenses/by/3.0/	yes	yes	yes	3:46:12	calm,focus,sleep	music.source	item_license_verified	Live improvisation with 16 chapters; full audition and chapter splitting required
P0	incompetech-meditation-impromptu-01	Meditation Impromptu 01	Incompetech	https://incompetech.com/music/royalty-free/index.html?Search=Search&isrc=USUAN1100163	Kevin MacLeod	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	yes	3:32	calm,sleep	music.bed	item_license_verified	Piano melody must not compete with hypnosis or meditation voice
P0	incompetech-meditation-impromptu-02	Meditation Impromptu 02	Incompetech	https://incompetech.com/music/royalty-free/index.html?Search=Search&isrc=USUAN1100162	Kevin MacLeod	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	yes	4:09	calm,sleep	music.bed	item_license_verified	Piano melody must not compete with hypnosis or meditation voice
P0	incompetech-meditation-impromptu-03	Meditation Impromptu 03	Incompetech	https://incompetech.com/music/royalty-free/index.html?Search=Search&isrc=USUAN1100161	Kevin MacLeod	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	yes	4:15	calm,sleep	music.bed	item_license_verified	Piano melody must not compete with hypnosis or meditation voice
P0	scott-buckley-solace	Solace	Scott Buckley	https://www.scottbuckley.com.au/library/solace/	Scott Buckley	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	yes	unknown	calm,focus	music.bed	item_license_verified	Piano and glass marimba transients; Content ID claims require exact credit
P1	scott-buckley-hiraeth	Hiraeth	Scott Buckley	https://www.scottbuckley.com.au/library/hiraeth/	Scott Buckley	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	yes	unknown	calm	music.bed	item_page_license_recheck	Yearning cello may be emotionally heavy; not default sleep
P1	scott-buckley-snowfall	Snowfall	Scott Buckley	https://www.scottbuckley.com.au/library/snowfall/	Scott Buckley	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	yes	unknown	calm,focus	music.bed	item_page_license_recheck	Check bells or bright highs and Content ID behavior
P1	scott-buckley-petrichor	Petrichor	Scott Buckley	https://www.scottbuckley.com.au/library/petrichor/	Scott Buckley	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	yes	unknown	calm,focus	music.bed	item_page_license_recheck	Full dynamics and voice-ducking review required
P2	scott-buckley-aurora	Aurora	Scott Buckley	https://www.scottbuckley.com.au/library/aurora/	Scott Buckley	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	yes	unknown	calm	music.source	item_page_license_recheck	Description says it builds to a climax around 5:00; likely needs editing and is unsuitable for sleep default
P1	oga-calm-ambient-1	Calm Ambient 1 (Synthwave 4k)	OpenGameArt	https://opengameart.org/content/calm-ambient-1-synthwave-4k	The Cynic Project	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	unknown	focus,calm	music.bed	item_license_verified	Creator requests credit despite CC0; preserve courtesy credit and check repetition
P2	oga-calm-ambient-2	Calm Ambient 2 (Synthwave 15k)	OpenGameArt	https://opengameart.org/content/calm-ambient-2-synthwave-15k	The Cynic Project	CC0 collection claim	https://creativecommons.org/publicdomain/zero/1.0/	unknown	unknown	unknown	unknown	focus,calm	music.bed	item_page_license_recheck	Do not download until the item page confirms exact license
P2	oga-calm-ambient-3	Calm Ambient 3 (Lifewave 2k)	OpenGameArt	https://opengameart.org/content/calm-ambient-3-lifewave-2k	The Cynic Project	CC0 collection claim	https://creativecommons.org/publicdomain/zero/1.0/	unknown	unknown	unknown	unknown	focus,calm	music.bed	item_page_license_recheck	Do not download until the item page confirms exact license
P2	oga-calm-relax-1	Calm Relax 1 (Synthwave 421k)	OpenGameArt	https://opengameart.org/content/calm-relax-1-synthwave-421k	The Cynic Project	CC0 collection claim	https://creativecommons.org/publicdomain/zero/1.0/	unknown	unknown	unknown	unknown	focus,calm	music.bed	item_page_license_recheck	Do not download until the item page confirms exact license
P2	oga-hypnotic-chill	Hypnotic Chill (Extended 4 minute mix)	OpenGameArt	https://opengameart.org/content/hypnotic-chill-extended-4-minute-mix	The Cynic Project	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	no	yes	yes	4:00	focus	music.bed	item_license_verified	Drum and bass; reject for sleep and meditation unless listening shows unusually low drive
