candidate_id	source_batch	source_platform	source_title	source_url	license_name	license_url	category	scene_family	recommended_scene	local_path	file_sha256	duration_seconds	codec	sample_rate	channels	default_volume	tags	title_voice_risk	qa_status	qa_notes	machine_status	hash_matches	measured_duration_seconds	measured_codec	measured_sample_rate	measured_channels	mean_volume_db	max_volume_db	machine_warnings	machine_failures	human_voice_policy
b04_mixkit_17	batch-04	Mixkit	Birds Singing in Trees	https://mixkit.co/free-sound-effects/forest	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	forest	morning calm	public/audio/nature/batch-04/birds_in_trees.wav	46d5fbe7a713077c813816f2e5637c51d062f185da2a45904c0784d39404d624	8.33	pcm_s16le	44100	2	10	Birds,Trees,Morning	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	warn	true	8.33	pcm_s16le	44100	2	-29.6	-13.7	nature bed is short; loop fatigue QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2434	batch-04	Mixkit	Jungle Birds	https://mixkit.co/free-sound-effects/forest	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	forest	deep nature	public/audio/nature/batch-04/jungle_birds.wav	7fba8dec1f1cf61b7c2b9871e7c4dee32a760725a87354dd357002a1bf2c3f53	60.83	pcm_s24le	44100	2	10	Birds,Jungle,Wildlife	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	60.83	pcm_s24le	44100	2	-35.9	-11.5			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2414	batch-04	Mixkit	Night Forest Insects	https://mixkit.co/free-sound-effects/forest	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	forest	bedtime	public/audio/nature/batch-04/night_forest_insects.wav	4a1e9c5cada898737a47c081117365907368fdc25acb8f66b8402d757320d4d0	84.00	pcm_s16le	44100	2	10	Forest,Night,Insects	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	84.00	pcm_s16le	44100	2	-25.2	-5.7			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1216	batch-04	Mixkit	Forest River with Birds	https://mixkit.co/free-sound-effects/forest	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	forest	nature meditation	public/audio/nature/batch-04/forest_river_birds.wav	d0cf7cf45a3cc493b52fce76f5d615f942004e0e215ca9e8ea81bb472e9eeb71	95.00	pcm_s16le	44100	2	11	Forest,River,Birds	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	95.00	pcm_s16le	44100	2	-35.7	-12.2			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2456	batch-04	Mixkit	Wildlife by the River	https://mixkit.co/free-sound-effects/forest	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	forest	deep nature	public/audio/nature/batch-04/wildlife_river.wav	0efc1476c5e48c66c5b299e01fd58ad1fe4fa9902624cfd00495950745c40216	121.73	pcm_s24le	44100	2	10	Wildlife,River,Nature	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	121.73	pcm_s24le	44100	2	-30.5	-9			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2466	batch-04	Mixkit	Owl in the Forest	https://mixkit.co/free-sound-effects/forest	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	forest	night ambience	public/audio/nature/batch-04/forest_owl.wav	ba84cb3a864bf0dd396dffcda8ae293656cfab67bbb8f0b2476201e0478fd193	90.14	pcm_s24le	44100	2	8	Owl,Forest,Night	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	90.14	pcm_s24le	44100	2	-39.6	-10.8			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1238	batch-04	Mixkit	Windy Forest with Birds	https://mixkit.co/free-sound-effects/forest	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	forest	forest ambience	public/audio/nature/batch-04/windy_forest_birds.wav	c3030fc6db869062385ce616cec6062ec1e4397d51fdca219f1b597918b5582c	125.35	pcm_s16le	44100	2	10	Forest,Wind,Birds	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	125.35	pcm_s16le	44100	2	-30.3	-5.4			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_39	batch-04	Mixkit	Wild Crickets and Insects	https://mixkit.co/free-sound-effects/crickets	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	crickets	bedtime	public/audio/nature/batch-04/wild_crickets_insects.wav	dcf4574791c8c49a9e55d088b577a5132a7ae3bf14d0eadbefba8b8e789b8965	26.01	pcm_s16le	44100	2	9	Crickets,Insects,Night	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	26.01	pcm_s16le	44100	2	-30.5	-11.9			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1782	batch-04	Mixkit	Swamp Night Crickets	https://mixkit.co/free-sound-effects/crickets	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	crickets	night ambience	public/audio/nature/batch-04/swamp_night_crickets.wav	dbbcc6f74e7fbbb1eca2a5eeed2e9e6f40a9b6445dd33d0322f6184253a4263b	33.74	pcm_s24le	44100	2	9	Crickets,Swamp,Night	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	33.74	pcm_s24le	44100	2	-34.2	-15.7			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2475	batch-04	Mixkit	Crickets at Night	https://mixkit.co/free-sound-effects/crickets	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	crickets	bedtime	public/audio/nature/batch-04/crickets_at_night.wav	196451001da6cf7f042736235d0e37657addd3824fdbc1fc55b4167a510e8794	90.13	pcm_s24le	44100	2	9	Crickets,Nature,Night	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	90.13	pcm_s24le	44100	2	-34.5	-9.8			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1227	batch-04	Mixkit	Summer Night Forest	https://mixkit.co/free-sound-effects/crickets	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	crickets	bedtime	public/audio/nature/batch-04/summer_night_forest.wav	30712c30d2cfbb413800ccdcd79c15d6b45cce888733cbeaf6a279d9b0d54757	126.00	pcm_s16le	44100	1	9	Forest,Summer,Night	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	126.00	pcm_s16le	44100	1	-30.6	-12.7			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1784	batch-04	Mixkit	River Shore with Crickets	https://mixkit.co/free-sound-effects/crickets	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	crickets	night ambience	public/audio/nature/batch-04/river_shore_crickets.wav	68bac375815b530d102563b4a5aab0c73620f194944825da5dd417fc8d0cebfc	37.02	pcm_s24le	44100	2	9	River,Crickets,Night	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	37.02	pcm_s24le	44100	2	-36.3	-15			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2518	batch-04	Mixkit	Flowing Waterfall	https://mixkit.co/free-sound-effects/waterfall	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	waterfall	focus	public/audio/nature/batch-04/flowing_waterfall.wav	8e7d0392f0fa026f51eac54d618ed29499e21b4136cf9eea95fc3bdf667c4047	65.15	pcm_s24le	44100	2	11	Waterfall,Flow,Water	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	65.15	pcm_s24le	44100	2	-16.4	-2			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_3030	batch-04	Mixkit	Large Waterfall Loop	https://mixkit.co/free-sound-effects/waterfall	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	waterfall	masking	public/audio/nature/batch-04/large_waterfall_loop.wav	3b3799e4dd5055c94212814d849e2532f06a3c3cc3ceff0158b96b40a2076d1a	72.00	pcm_s16le	44100	2	10	Waterfall,Large,Loop	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	72.00	pcm_s16le	44100	2	-18.4	-3.3			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2514	batch-04	Mixkit	Forest Waterfall Loop	https://mixkit.co/free-sound-effects/waterfall	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	waterfall	relaxation	public/audio/nature/batch-04/forest_waterfall_loop.wav	a5a77b5336b9052085e079e8e34ac3411462aee949b199364bf5a83b8da2da63	25.00	pcm_s16le	44100	1	11	Waterfall,Forest,Loop	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	25.00	pcm_s16le	44100	1	-20.3	-1.5			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2515	batch-04	Mixkit	Big Waterfall Loop	https://mixkit.co/free-sound-effects/waterfall	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	waterfall	focus	public/audio/nature/batch-04/big_waterfall_loop.wav	f31925d5a52728d1ce0f1801c5597f040995d13c0e488a50c896bffe24fbc082	26.81	pcm_s16le	44100	1	10	Waterfall,Big,Water	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	26.81	pcm_s16le	44100	1	-17.8	-2.5			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1736	batch-04	Mixkit	Campfire with Night Wind	https://mixkit.co/free-sound-effects/fire	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	fire	cozy sleep	public/audio/nature/batch-04/campfire_night_wind.wav	5aa9e417ecdc1ab9e6185ad6b617cc88b1eb8691d57b56d5225333df2ce04b9b	30.75	pcm_s16le	44100	2	11	Campfire,Wind,Night	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	30.75	pcm_s16le	44100	2	-23.2	-0.6			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1329	batch-04	Mixkit	Burning Campfire Crackles	https://mixkit.co/free-sound-effects/fire	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	fire	cozy sleep	public/audio/nature/batch-04/burning_campfire.wav	18ad5f7da6e690a530516802df4ce6f75bd0a4bbf1c9f3ce7c411634f06620bc	14.08	pcm_s24le	44100	2	12	Campfire,Crackle,Fire	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	warn	true	14.08	pcm_s24le	44100	2	-59.6	-20.7	nature bed is short; loop fatigue QA required; very quiet source; silence/noise-floor QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_2473	batch-04	Mixkit	Birds Near the River	https://mixkit.co/free-sound-effects/water	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	water	morning calm	public/audio/nature/batch-04/birds_near_river.wav	3d75a1608d4a28a3e89bdbd04c64fb7c8a37cc3683f7e78bd0b8de259445c0ca	90.13	pcm_s24le	44100	2	10	River,Birds,Morning	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	90.13	pcm_s24le	44100	2	-42.6	-20.8			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b04_mixkit_1785	batch-04	Mixkit	River Shore Insects	https://mixkit.co/free-sound-effects/water	Mixkit Sound Effects Free License	https://mixkit.co/license/	Nature	water	night ambience	public/audio/nature/batch-04/river_shore_insects.wav	a00992f3b3f48d809bda3a702bb7275f88c371a12bd26fd23153cdbf9ecab1ff	60.09	pcm_s24le	44100	2	9	River,Insects,Shore	clear	needs_review	Candidate-only nature source. Requires no-human-voice listening QA, loop QA, loudness/transient QA, and license snapshot before approval.	pass	true	60.09	pcm_s24le	44100	2	-23	-5.7			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b05_commons_001	batch-05	Wikimedia Commons	File:SingingBowl1.ogg	https://commons.wikimedia.org/wiki/File:SingingBowl1.ogg	Public domain	https://commons.wikimedia.org/wiki/Commons:Copyright_tags/General_public_domain	Accent	bowl	meditation	public/audio/candidates/batch-05/open-audio/01_singingbowl1.ogg	01cec5656e84afd074a989ca860d0c37179633429dc5a792a412e6b2cf7a385e	12.80	vorbis	44100	1		bowl	clear	candidate	Candidate-only open audio source. Requires no-human-voice listening QA, source/license snapshot, loudness/transient QA before approval.	pass	true	12.80	vorbis	44100	1	-22.9	-9.6			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b05_commons_002	batch-05	Wikimedia Commons	File:SingingBowl2.ogg	https://commons.wikimedia.org/wiki/File:SingingBowl2.ogg	Public domain	https://commons.wikimedia.org/wiki/Commons:Copyright_tags/General_public_domain	Accent	bowl	meditation	public/audio/candidates/batch-05/open-audio/02_singingbowl2.ogg	2f3fccb29a9ddb6df742b67aa60b588005fe84e270c93234c1931bf222b2d10e	9.33	vorbis	44100	1		bowl	clear	candidate	Candidate-only open audio source. Requires no-human-voice listening QA, source/license snapshot, loudness/transient QA before approval.	pass	true	9.33	vorbis	44100	1	-22.3	-10.4			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b05_commons_003	batch-05	Wikimedia Commons	File:Striking a bell 15cm large.ogg	https://commons.wikimedia.org/wiki/File:Striking_a_bell_15cm_large.ogg	Public domain	https://commons.wikimedia.org/wiki/Commons:Copyright_tags/General_public_domain	Accent	bell	meditation	public/audio/candidates/batch-05/open-audio/03_striking_a_bell_15cm_large.ogg	0a6dbc25677ed02c36024945386c9006172bb870572ec54f25a3197989056163	60.89	vorbis	44100	2		bell	clear	candidate	Candidate-only open audio source. Requires no-human-voice listening QA, source/license snapshot, loudness/transient QA before approval.	warn	true	60.89	vorbis	44100	2	-34.7	-0.8	accent is long; trim or event-window QA required		Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
b05_commons_004	batch-05	Wikimedia Commons	File:Synthetic bell sound.ogg	https://commons.wikimedia.org/wiki/File:Synthetic_bell_sound.ogg	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Accent	bell	meditation	public/audio/candidates/batch-05/open-audio/04_synthetic_bell_sound.ogg	b683707a6ca9f2ecabf7644611eb7b7ac122da078e83bbb490267dbfb7d50024	15.00	vorbis	44100	2		bell	clear	candidate	Candidate-only open audio source. Requires no-human-voice listening QA, source/license snapshot, loudness/transient QA before approval.	pass	true	15.00	vorbis	44100	2	-17.3	-1.6			Manual listening must confirm no speech, singing, laughter, crowd noise, children, applause, or conversation.
